urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
prozac,6,Moderately Effective,Moderate Side Effects,depression,depression was alleviated to a functional degree.I wasn't in lala land but was able to get out of bed and care for my children. I was never suicidal or violent,I had some sleep disturbancebut the worst was a 15 lb. weight gain that came off only after switching to another antidepressant,I took the prozac once daily and got regular exercize.
boniva,3,Considerably Effective,Severe Side Effects,preventing osteoporosis,Was to prevent thinning of bones,"Nauseau, increasing in severity each time Boniva was taken. By the third month, even with waiting a couple of hours after taking the pill before any food was consumed, the food did not stay down at all. Before eating, it was like dry heaves and it was hoped food would alleviate those. It didn't work.  Felt miserable for most of the rest of the day",Take one Boniva once a month.
flonase,10,Highly Effective,Mild Side Effects,eustachian tube pain,"i have had eustachian tube pain in my neck for about 2 years most days, and almost everyday this last year.  this is the only thing that has ever worked to relieve the pain, and as a benefit it helped with some mild allergies.  LOVE IT","full doses would make my heart race, so i use typically just 1 spray in each nostril a couple times a day, and more if i havent taken it in a while, and all of a sudden the pain sets back in unbearably.",summary is above
crestor,9,Highly Effective,No Side Effects,high cholestrol,The treatment benefits were that my cholestrol levels went from 9 to the 4-5 level.  This was demonstrated by regular blood test results.,"The only side effect occured in the first 3 months, where slight aching of the joints and muscles was experienced.  This disappeared after 3 months.",A pill is taken every night before going to bed.
biaxin,10,Highly Effective,Mild Side Effects,"sinus infection, bronchitis","Clearing of sinus infection and bronchitis.  Used a few times for same problem, sometimes after trial of azythromicin (which did nothing) or doxycycline which  also did very little.","Simply a bad taste in my mouth which can be eliminated, or nearly so, by frequent cleaning of teeth.","""Found to be the most effective antibiotic for sinus infection and bronchitis.  "
septra,4,Considerably Effective,Severe Side Effects,urinary tract infection,eliminated urinary tract infection symptoms,"mood changes, headaches,",I had to finally stop before the end of the dose- I just was not myself. I understand that this drug has been banned in the UK due to the side effects.
vivelle-dot,10,Highly Effective,No Side Effects,hysterectomy/cessation of menses,"cessation of hot flashes, vaginal dryness.  The patch is clean and always delivers the same amount of medication, so it is very reliable","No side effects, but because it is a patch, there is no way to change the dosage even a little.  With a cream, you can always put on a little more, if you have a breakthrough hot flash, or if something changes so that you are having hot flashes.",Patch was applied to skin twice a week
ultracet,1,Ineffective,Extremely Severe Side Effects,tooth infection,There were no benefits to this treatment.,"I had a tooth infected went to the dentist for exam and antibotics, and he gave me Tramadol. I took it from 10/14/2008 to 10/16/2008 early am every 4 to 6 hrs 2 pills for pain. I woke up Thursday around 2 am took 2 more as prescribed was unable to walk due to muscle spasms. I could not go to the bathroom due to pain just made the barrel by the bed and crawled back in the bed stopped taking the pain pills after this. My Husband took me to the Doctors office carefully assisting me as I could not walk. I was paralized with extreme severe pain. He made a make shift ambulance out of a ford escort in the back making a bed and I crawled carefully in pain and laid there. The Physician office told me go to the Emg. room St Michaels Hospital. I was unable to get out of the back of the car. With assistance it took a good while to get me out and to lean on a wheelchair to try and walk with constant spasms and pain. I finally got to a bed in the emergency room and laid on my side. In less than 1 hour I had 2 shots in my rear and one in my arm informing I was having severe adverse reactions to the meds. They went from the top of my shoulders, down my back, to my stomach and legs. This was worse than having a baby and I had 3. I am still laid up today and have had a leave of absence due that I am unable to walk or sit at present. I am very upset at the slow process and the information on side affects do not talk about these adverse affects.  My physician took blood and urine samples for a possible muscle problem that this adverse reaction can cause.  Waiting for the results.",Take 2 pills every 4 to 6 hrs. for pain.  Not to exceed 8 pills
topamax,7,Considerably Effective,Moderate Side Effects,bipolar ii,"treated hypomanic systems, reduced impulsivity; reduced cravings for alcohol; reduced irratibility; loss of weight (15 lbs); more stable moods;",cognitive impairments; difficulty remembering names; memory problems; loss of weight,"was identified with Bipolar II two years ago presenting with mixed states.  Hospitalized one week for high anxiety and depression.  Relapsed into alcoholism which exacerbated symptoms. Doctor diagnosed BPII and prescribed Topomax to help diminish alcohol cravings in addition to BP symptoms. Initially became depressed and lethargic. These feelings subsided after three weeks.  Weight loss was dramatic and quick. Cravings dimished, felt more balanced, less irritable and impulsive."
zithromax,9,Considerably Effective,No Side Effects,bronchitis,Zithromax was uesd to cure the bacterial infection that was located in my lungs. The drug also cured a minor cut infection.,There was no after taste or smelly urine like penicillin provides. This drug caused yeast overgrowth. While it killed the dangerous bacteria in my lungs it also killed all the healthy flora located in the intestinal tract and the vagina.,"I took a dosage of 1000 mg on e day oje and took a dose of 5oomg on days 2,3,4 and 5"
ortho-tri-cyclen,3,Ineffective,Moderate Side Effects,acne,I was given this birth control to help stabilize my hormones to aid in clearing up my acne.  I never saw a significant improvement in my acne.,"""I suffered some very negative side effects.  First, this medication made me nauseated.  Secondly, and the effect that I am still trying to recover from, this medication gave me the """"pregnancy mask"""" which is a darkening above the lip area.""",I was to take this birthcontrol pill daily to aid in the hormonal fluctuations that possibly were contributing to my acne.
accutane,10,Highly Effective,Severe Side Effects,moderately severe acne,"Oily skin & hair reduced, clear skin, long lasting results!","Very dry skin, sensitivity to sun, red/dry eyes, severe dry lips, frequent nose bleeds and rashes, minor depression, back pains, and easily worn out.","I am only 15 and wanted to not have to fight acne for the rest of my teen years. I have tried multiple amounts of acne medications, but were all ineffective and I suffered more than I did on accutane. Yes, the side effects were odious, but it was nothing that I couldn't handle. The worst was probably the dry lips, in which I soon discovered that the classic Cherry Chapstick was sent from heaven (and must be applied consistantly). I got a lot of bad sunburns & rashes, and my face was constantly red and peeling. I had to get a quality moisturizer and apply throughout the day, and even that wasn't efficient. I eventually had back pains and wore out easily, red eyes, nosebleeds, and minor depression. In addition, IPLEDGE and the monthly blood tests are a hassle. But from the first week I started to clear up continually without initial breakout until now I am 100% acne free. I used to have very oily skin and hair, which now I don't have to worry about. I know results differ from each individual, but I wanted to spread the word that it can work, and I have a lot of friends that have benefited from this product also. Acne is not the end! Accutane can really boost your self confidence. I would recommend on giving it a try. It could change your life forever!"
lorazepam,3,Considerably Effective,Severe Side Effects,anxiety,The ativan decreased my anxiety so that I was able to sleep through the night.,"2 mg was way too much.  After 7 hours of sleep, I continued to be spaced out and clumsy, bumping into walls and dropping things for another 7 hours.  My mind also felt really slow, stunned and stupid.  These side effects were so strong, my co-workers noticed and were concerned for me.  A week later, I took half a pill to ease my anxiety and help me sleep.  The side effects were less, but still noticeable by others the next day at work.  The last two times I tried ativan, I only took 1/4 of a pill.  It did still ease my anxiety and the side effects were mild, but I decided I'd rather live with the anxiety than live with a mind that felt slow and stupid.",Dissolve one tablet under the tongue at bedtime as needed to a maximum of 3 tablets per week.
neurontin,10,Highly Effective,Moderate Side Effects,trigeminal neuralgia plus spinal stenosis etc,Chronic pain from degenerated cervical vertebra. Bulging discs indenting the dural sac reaching the cord from C5/7 without cord compromise.osteophytes pinching nerve roots bilateral C6. C7/t1 and T 2 Anterolisthesis,"Lack of concentration, fatigue short term memory loss.",I take 400 mgs Gabapentin with 1000mgms paracetomol 4 times daily
erythromycin,6,Moderately Effective,Moderate Side Effects,sinus infection,I was able to get rid of an infection that had been bothering for awhile.,I developed a rash across my stomach within 45 min. of the first dose and began itching.,I was given Erythromycin every time I developed a sinus infection. (This had been going on since childhood). I was also given sudafed to treat allergy symptoms and sometimes a saline solution to flush out my sinuses.
ativan,1,Ineffective,No Side Effects,anxiety,"Absolutely none. My original dr. prescribed me Xanax, which, for me, is a life-saver. New dr. wouldn't put me on it, so I got Klonopin instead,(1mg, 3x's/day). After Klonopin made me sleepy, I asked for the only other bz he was willing to prescribe,(Ativan),and w/in one week was going through massive w/drawals from the lack of potency of the drug. So, back on Klonopin and the problems went away like that. May as well have been a sugar pill. Needless to say, I found a dr. to prescribe Xanax, and have had no problems since.",Absolutely none.,Read above.
imitrex,9,Considerably Effective,Mild Side Effects,migraine,Pain relief that was seen within 30 minutes.  If migraine was not reduced then a second 25 mg tablet is taken after the 30 minutes.,Mild dizziness and a rushing feeling sometimes occurs.  I am not comfortable driving after having taken Imitrex and will generally stay at home that day.,"As stated above, a 25 mg pill is taken at the onset of the migraine, followed by a second dose if pain is not reduced."
keflex,1,Highly Effective,Extremely Severe Side Effects,skin wound/infection,NONE,C. difficile,"""within 48 hr I experience extreme abdominal pain. I developed C.Difficile and was in agony."
elavil,10,Highly Effective,No Side Effects,"depression, tension headache","Good for sleep and to ease a tension headache and restlessness. You should take it only at beadtime, don't take it before driving a car. For me there are no side effects because of low dose probably. Ideal to balance your mood and improve your life quality.",Sleepiness on the following day,"I started to have it after a nervous breakdown due to panic attacks. First I had 3 tablets a day, but then, with time went by decreased a number of tablets. I still need it two-three times a week when I feel heaviness in my head and it helps in 1 hour after taking it. Highly reccomend for those in depression, with the tension headache and difficulties with sleep."
lyrica,7,Considerably Effective,Mild Side Effects,periferal neuropathy,"Definite lowering of feet and leg pain, numbness and foot-sensory control.  However due to the length of diagnostic time required and the progressiveness of the problem, Cymbalta (in a.m.) and Lyrica (in p.m.) work well together.  The neuropathy does not both me at night, once I am laying down and settled.","Some dizziness, balance, and memory issues.  Some days are fine, others are disconcerting but livable.","Lots of testing at the Mayo Clinc (unmedicated) and then medicated with Lyrica, eventualy Cymbalta was added and works quite well about 60% of the time.  Prolonged walking or standing, driving over an hour,the wearing or shoes with backs, and socks exacerbate the neuropathy.  Some lower leg and foot therapy and massage also assists for short periods by releasing endorfins(?)."
flagyl,3,Considerably Effective,Severe Side Effects,bacterial vaginosis,Got rid of the infection completely.,"Nausea, vomiting, loss of appetite, headache, listless. Metal taste in mouth was horrible. The pills tasted gross.","500ml 2x daily 7 days Had to take for a Bacterial Vaginosis. I have learned that they have a vaginal gel that works just as well. If I ever get diagnosed with this again, I will definately request the gel."
flonase,10,Highly Effective,No Side Effects,chronic sinus infections,"I have had 1-2 sinus infections anually, compared to one every 4-6 weeks prior.  I had sinus surgery, THE MOST PAINFUL EXPERIENCE IN MY LIFE, some 20 years ago. I cannot recall the last infection I have had since beginning this treatment.",I have no noticiable side effects,"2 sprays in each nostril, once daily"
nuvaring,10,Highly Effective,No Side Effects,contraceptive,Treatment benefits were pregnancy prevention and regulation of menstrual cycle.,There were no know side effects caused by the treatment. I was very happy with the absence of side effects and the overall simplicity of the drug.,"The NuvaRing was inserted once a month and kept in place for three weeks. After the third week, the ring was removed so that a menstrual cycle could ensue. After 7 day, a new ring was inserted. There was no pain associated with the insertion or removal of the ring, nor was there any discomfort during sexual intercourse. Overall I am very pleased with the NuvaRing and will continue to use it until I decide to become pregnant."
azelex,9,Considerably Effective,Moderate Side Effects,acne,"Significant reduction in acne lesions.  The size, frequency and severity of the lesions was reduced in the first week of use.","Drying, flaking, peeling of the skin where the cream was applied.  These side effects were reduced by using the product only at night time.",I noticed reduction in frequency and severity of acne lesions during the first week of use.  Application was done on clean dry skin and a non-oily moisturizer was applied after the product had absorbed.   Sunscreen was applied for daytime use.
flonase,10,Highly Effective,Mild Side Effects,"chronic sinus infection (long term), post nasal dr","I have had a cough for 15 years I related to allergies, plus post nasal drip that kept me up at night coughing.  Had sinus infections every year and then twice a year, went to dr and would be on antibiotics for 10 days or so and get better.  Well I finally went to a specialist and all the previous years I thought I was better, I was not.  My sinus were so infected he said I had a chronic sinus infection which was probably 4 years old.  He treated me for months with antibiotics and still could not clear up infection.  Sent me to Ear, nose , throat dr. and he wanted to do surgery right away.  That was 2 months ago.  After using the Flonase in combination with singular I have not had any problems.  Post nasal drip gone!!! which is a huge blessing.  Wish I had this nasal spray 10 years ago.",When I was using 2 sprays each morning I did have nose bleeds.  Since I reduced it to one spray each side no more bleeds.,I use every morning at the same time along with the Singular.
aralen,1,Moderately Effective,Severe Side Effects,malaria,"my fever was reduced but just for a while, as i threw up almost every 30 minutes after taking the medication and and until i emptied my stomach, the nausea was constant with every intake of the drug .","compulsive vomiting,nausea,headaches and intense shivering",2 tabs to be taken 3times daily for the duration of the treatment alongside aspirin.
emsam,9,Highly Effective,Moderate Side Effects,"""chronic """"atypical"""" depression""",I have been on every SSRI made- trial after disappointing trial since I was 19. This is the first medication that has worked for any length of time. (Paxil worked for a short period of time but maxed out w/o further benefit even with augmentation).,"The worst side effect I had was insomnia. At first, insomnia was OK because I was, for the first time, happy to be alive and being happy more hours of the day seemed hunky-dory. Of course sleep-deprivation isn't good for the brain and started to wear on my job performance. Tried many different sleep agents to no avail. (I have absolute tolerance to anything ending in -pam apparently). For the longest time I could sleep no more than 1-2 hours per night (but felt rested). I'm up to 4-5 hours (pre-med normal amount) without any sleep meds.","""No response to 6 mg, slight response to 9 mg, full response to 12 mg. I have adhered to none of the MAOI dietary restrictions (eat a lot of soy as a vegetarian, drink 2-3 tap beers upon occasion) with no adverse effect."
metrolotion,9,Considerably Effective,No Side Effects,perioral dermamtitis,"The small pimples that accompany perioral dermatitis clear much more quickly with metrolotion.  The dry, red, irritated patches might be slightly calmed by the metrolotion, but topical cortisone is needed to clear them.",none,"Metrolotion applied daily, and cortisone cream applied as needed, keep my perioral dermatitis (which is exacerbated by sun, wind, chlorine, and many facial products like sunscreen) undercontrol."
effexor-xr,7,Moderately Effective,Mild Side Effects,depression,Alleviated deep depression.,Sexual desire & response.,Treatment ongoing.
neurontin,6,Moderately Effective,Moderate Side Effects,chronic pain (neck and migraines),The course of treatment reduced the severity and the frequency of the neck pain and migraines by about 50%.,Dizziness and fatigue,the dose was started small and raised gradually to monitor side effects. It was only moderately successful and the side effects were quite a challenge. It was used as a standard prophylactic treatmemt against frequent migraines.
prozac,7,Considerably Effective,Mild Side Effects,depressio,Relieved depression.,Gastrointestinal.,I take one pill a day.
solodyn,6,Moderately Effective,Moderate Side Effects,folliculitis of scalp,"Solodyn contains minocycline and is formulated to be taken once a day. This was very convenient and easy to remember. It can be taken with or without food. The Solodyn seemed to reduce the number of inflammatory lesions, and reduced irritation and itching was considerably.","After a couple of weeks, the Solodyn produced heartburn and nausea. This was very uncomfortable, enough to disturb sleep at night. Solodyn also makes skin sensitive to the sun, so I had to remember to apply sunscreen every day, with at least a moderate SPF (SPF 30+). Healing and resolution of the folliculitis seemed slow, taking months.","I took one Solodyn each day. I also washed my hair and scalp with Clobex shampoo, and applied Mupirocin ointment directly to the lesions."
chantix,10,Highly Effective,Severe Side Effects,stop smoking,30 year smoker at 1.5 packs per day,"In the beginning no side effects.  2.5 weeks into taking drug very severe stiff neck/joint/muscle pain.  Gas was bad at first along with consptipation.  Gas and constipation disappeared when I lowered the dosage from 2 mg per day to 1 mg per day.  Neck/shoulder tension/pain still exists, but worth it to stay smoke free.","Began Chantix Starter pack, then quit on Day 7 or 8 of Chantix.  Been smoke free for 30 days with no withdrawal pains whatsoever.  I plan on staying on 1. mg of Chantix for another 60 days then tapering Chantix until drug free.  This is a miracle drug.  I could not have quit without Chantix."
celebrex,10,Highly Effective,No Side Effects,hip flexor & back pain,"I feel like a new person. I've had an MRI and all sorts of other tests and no one can find anything wrong with my right hip. I believe I tore the hip flexor several years ago in a yoga class and it never healed properly. Sitting at a desk for work aggravates the pain, and I bike every day which isn't good for it either. Additionally from sitting every day, my upper back and shoulders are often in pain. Celebrex took ALL aches away, and took my hip pain from a constant worrying sharp pain, down to a very mild twinge. LOVE IT.",NONE.,Took a pill. Swallowed.
premarin,10,Highly Effective,No Side Effects,symptoms of menopause,"no further hot flushes and palpitations, no mild panic attacks ,much improved sleep pattern, skin tone improved, much more positve attitude and general wellbeing, lowered cholesterol, and loss of weight gained prior to HRT, and also feel that my joints and flexibility has been maintained as physically I really am in much better shape and stronger than non HRT taking friends, and I am not an exerciser but am very activeie. paint the house, walk the dog etc","Absolutely none, other than  friends advising NOT to take HRT because they have read reports negative reports on long term use.","Very simple, take premarin and provera daily. have tried at various times lower doses maybe come of HRT due to cost factors and mdo I really need it but always go back as symptoms return."
detrol-la,8,Highly Effective,Mild Side Effects,overactive bladder,Greatly improved the sense of urgency. I usually had to urinate every 20-30 minutes. Now I can go as long a 2-3 hours. I find I need to take it as soon as I get up for the best results.  If I wait I have a morning of running to the bathroom. I used to get up around 3-4 times a night and now get up only once.,"None of the side effects that are usually mentioned.  However, I do now have restless legs at night which I have not mentioned to my dr yet.  I hadn't thought it was related to the detrol until I saw on another post that someone else was complaining of restless legs at night after taking detrol? So I will mention it to my dr. because it is very annoying. The only other side effect is some drowsiness in the afternoons but it does pass.",I had been suffering for years with an overactive bladder but had never brought it up to my dr. until our daughter was getting married in Jamaica and I just knew I could never make it without some help.  Doctor gave me sample and I saw improvement and tolerate it well so I have been on it ever since.
imitrex,8,Considerably Effective,Mild Side Effects,migraine,the only complete relief from one sided headache and nausea,slight fatigue occasional tachycardia,"I was prescribed 100mg dosage pills, which are about the same price ($15/pill) as 50 mg. Taking a whole pill gave me relief but also a light headed sensation and odd heartbeat. I bit the pills in two to take approx. 50mg.  Gradually my system became inured to it's effects and I had to take the whole pill, also occasionally it just doesn't work anymore.  I have long lasting recurring headaches and have always been worried about overuse and rebound headaches, but so far, so good."
tussionex,8,Highly Effective,Moderate Side Effects,mycoplasma bronchitis,Suppression of cough,"Drowsiness, dizziness, dream-like state, very mild haluccinations, weakness in arms","I was battling a severe, deep, incessant cough, and was diagnosed with mycoplasma bronchitis, probably contracted from my spouse who had walking pneumonia. I couldn•À_t go for more than 2 minutes without coughing, and couldn•À_t sleep through the night.  After suffering for well over a week, I finally was prescribed Tussionex (my spouse was too), and it was the most amazing relief •À_ it suppressed the cough, and I could finally sleep. Due to the side effects, I haven•À_t taken it for any common colds or flus, but it was worthwhile for my severe cough."
nortriptyline,10,Highly Effective,No Side Effects,joint/muscular issues - fibro,ability to sleep though the night decreasing joint/muscle pain and cramps allowing for a more productive day,"""none once proper dosages were found....higher mg's made me """"foggy""""""","""when I was not able to sleep the pain would increase which would lead to a cycle of not being able to sleep as I could not relax..the meds would help me to sleep which would allow my body to relax - this in turn led to a decrease in my symptoms..though there were still times when this would not be effective, such as if I was under high levels of stress or could not get 8 hours of sleep..if the condition continued for to long, severe depression, weepiness and other symptoms would begin to appear - usually a week of prescription sleep aides would help """"re-set"""" my system and we could get back to the original program."""
avage,8,Highly Effective,Moderate Side Effects,anti aging,"Avage contributed to maximum exfoliation to treat both hyperpigmentaion and minimization of lines, creases and wrinkles. It also helped to minimize pore size and added a more radiant look to my skin (it was very dull and drab).",Some type of basic moisturizing cream must be applied over the Avage. If the moisturizer was not used the avage was to strong to use daily. I have used Avage without a moisturizer on a every other day time table.,after 30+ days skin condition greatly improved. Avage contributed to maximum exfoliation to treat both hyperpigmentaion and minimization of wrinkles and anti aging. It also helped to minimize pore size and added a more radiant look to my skin (it was very dull and drab).
lumigan,8,Considerably Effective,No Side Effects,sparse thin eyelashes,"dramatic increase in eyelash growth and thickness, eyelashes became noticably longer after four weeks, with good growth experienced at the 12 week (3 month mark).","slightly darker eyelashes, the lashes appear rather whispy on the end and sort of messy, they grow irregularly and point in different directions as opposed to nice and straigh like they were before.","brush on the opthalmic solution (I used a small lip liner brush) directly on the lash line of the upper eyelid, once daily in the evening before bed (on fresh clean skin after makeup removal). Every second evening I also brushed the solution on the underside of the lashline on my upper eyelid by pulling my eyelid up (being careful not to get it in my eyes)."
singulair,3,Marginally Effective,No Side Effects,asthma,"I'm told it opens airways, but also hear there are neg side effects. Witout it, I'm a bi more weazy, but not much.","I hear its bad for heart (singulair) but am not sure and have not noticed. I may notice marginal effect on digestion, but it may be unrelated.","I purchased it in generic form most recently in India. I take one tab nightly. When my asthma is worse, I take it and it helps marginally. It is supposed to be leukotrine inhibitor."
oxycontin,8,Highly Effective,Moderate Side Effects,chronic nerve pain from back surgery,"when the drug wears off pain starts to increase to an almost intolerable level after taking 1 dose the pain is swept away and left feeling almost 100% better. BUT I must take 2nd dose in 12 hrs, to keep pain at bay.",constipation which can be relieved by stool softener which is a fair trade off to me. another effect as I found out is that it dries out your mouth and causes gum disease and now all my teeth need to be removed,After 2 back surgeries doctor tried numerous pain relief options and none seemed to work used physical therapy to strengthen lower back and 1 tablet 80mg twice daily to alleviate pain
divigel,9,Considerably Effective,No Side Effects,hrt,This worked better than an estrogen patch.  I felt better and vagainal atrophy was almost cleared up.,None that I can tell.,Rub one packet of gel on the top of either thigh daily.
effexor,4,Moderately Effective,Severe Side Effects,anxiety,"less anxiety, emotional stability",terrible withdrawal,treatment consisted of drug combined with therapy.
prednisone,8,Highly Effective,Moderate Side Effects,ulcerative colitis,I never really had any complications with my disease. It seemed to help treat the ulcers in my colon. It also let me be able to eat normal foods because when a person has Ulcerative Colitis they have to monitor what they eat and usually have to eat bland foods. It really helped me a lot but the side effects took away from the overall rating. The side effects most likely worsened because I was on the drug for a long period of time.,"I had dry eyes, trouble gaining weight, and loss of energy.","My doctor had me start out by taking 6 tablets a  day, three at breakfast and three at dinner. After 2 and a half months he had me start taking 4 tablets a day and 1/2 a pill less every week, until i was down to 1/2 a pill a day for a week. After that I stopped taking the pills."
propecia,1,Ineffective,Extremely Severe Side Effects,male pattern bladness,There were no benefits that I could perceive.  The hairloss continued but worst of all the side-effects from this drug are severe and permanent.  This is very disturbing!,"Sexual Dysfunction, depression, swelling, fatigue, redness and insomnia.  These side-effects were SEVERE and PERMANENT.",This drug should NOT be on the market!
haldol,10,Highly Effective,No Side Effects,psychotic out nof control patient,"Was able to gain control after receiving the injection form of the medication.Was helpful in decreasing aggitation,psychosis,delusions.At the end of the required time in seclusion and after giving medication time to take effect patient was able to return to facility population without any further problems.Was able to maintain in a calm manner,much less aggitated and was able to meet to staff to discuss delional ideas.",Drownsy but no untoward effects.Patient was able to be put on routine dose of this medication after effectivness of medication was evaluated to help prevent further problems.When routine dosage was begun patient was given routine medications for any side effects.,"Patient became aggiatated,delusional and psychotic and needed to be medicated for safty of patient and others.Required seclusion for decrease stimuli for mediation to take effect.Patient was medicated and given the quiet of seclusion and was monitored for saftey.At the end of seclusion time was released and placed back into the facility mileu."
fluvoxamine,10,Highly Effective,Mild Side Effects,obsessional thoughts ocd,"within 2 weeks obsessional thoughts were less, so much so that she could return to work, she increased dosage slowly over a few months to maximum 150mgs with marked improvement in her obsessional thinking and she was able to complete a masters degree. After one year slowly decreased dose. Would definately take it again if obsessional thinking returns in the future","some constipation and solomance, but not too severe, the befefits of the drug outweighed these",as above
xanax,1,Considerably Effective,No Side Effects,anxiety attacks,At first I loved this drug. Panic attacks were getting under control and I didn't feel druggy or fuzzy headed.,There were no side effects that I noticed at the time.,"Sadly, you can't (or shouldn't) take a drug like Xanax forever. So eventually, after using it for four months, I stopped. OMG. Would someone please explain to me whose brilliant idea it was to create a drug that when you stop taking it, causes the same symptoms that it was designed to alleviate to begin with?!?! I ended up going through even worse panic attacks after stopping the drug than I had to begin with! So in spite of the fact that it worked great to begin with, I would NEVER take this medication again. All in all it turned out to be a terrible experience. There are other far less addictive and nasty drugs available for anxiety."
zyrtec,6,Highly Effective,Moderate Side Effects,year round allergies,"I have good relief of sneezing, dripping nose, chesty cough, dry throat until a couple of months ago","have been on citirizine for approximately 7 years if not more.  I saw my GP last week to change as the cetirizine was no longer working on my allergies.  Since then I have slept only for about 12 hours (in six days), a nauseous feeling in my stomach with dizziness, stomach cramps, a permanent knot in my stomach, shivers, tremors and sweats, I am worried about itching starting  now.  The good news is that I am less fuzzy in my head even though I am tired, my bladder control is back and I seem to be losing some of the 3/4 stones I have gained since taking the drug.  Today I took half a tablet just to function in my job","I was prescribed one tablet daily along with eye drops and a nasal spray, over seven years ago."
triaz,9,Highly Effective,No Side Effects,acne,My acne has been greatly reduced and my skin is a lot clearer. I also found that my skin is less oily. I saw these results within the first month of using the product.,I haven't experienced any side effects.,I washed my face with the Oxy wash morning and night leaving the Oxy wash on my face for 3-5 minutes and then I rinsed the Oxy wash off.
allegra,9,Considerably Effective,No Side Effects,allergies,significantly helped in reducing congestion and headaches. Incidence of illiness and or secondary sinus infections were reduced.,None. I felt much better taking the medicine,"""After taking allergy tests and having significant response to dust mite allergins and mold, the doctor prescribe some antihistimines. I took several different kinds which had either no effect or made me feel extremely drowsy. "
depo-provera,10,Highly Effective,No Side Effects,birth control,"I was taking this drug as birth control, and it has been extremely effective.  (No children, yet!) The fact that you only need to take it four times a year is great, so it is difficult to miss a dose. (Unlike the pill, which you take everyday, and missing it even once alters it's effectiveness.)  As an added bonus, I no longer have my period, which were extremely painful and disrupted my life for a whole week every month.  I no longer suffer from PMS symptoms, either.  I can not complain about this drug at all.","I have not experienced any side effects from this medication.  Losing my period was an anticipated side effect, and although many feel that this is too much for them and discontinue use of this drug, it is a good side effect for me.  Also there are studies that show bone mineral density is affected by this drug, but I have undergone a bone density scan, with normal results.  This is great, considering I have been on Depo for nine years now, since I turned nineteen and for most of my twenties.","This drug is administered into a muscle by injection four times a year, by a physician.  The shot is given every ten to thirteen weeks.  Besides being used as birth control, it is also used to treat other conditions."
prednisone,9,Highly Effective,Mild Side Effects,polymyalgia,I went from being in extreme pain and sometimes almost immobile to being able to go back to work at a physical job,"So far all I,ve had is a little weight gain plus occasionally I have to take ib prophen in the evening to get rid of leg pain","i sarted off with taking 3 - 5mg pills a day, over some moths I was down to 1 - 5mg pill a day.  I went off the medication a few days and was ok until the third day.  I went bace to taking 3 pills a day for a week, am now down to 2 a day and will go down to one a day next week. I then will bee taking 1 pill every two days.  The trick is to take as little as possible while not taking too little and having to start over again"
prevacid,7,Considerably Effective,No Side Effects,severe heartburn,"Overall acid reduction; however, it could be sporadic.  With taking the medication, still had to watch diet and avoid triggering foods.  At times, the medication was not effective.",None,"Symptoms were so severe they would wake me up in the middle of the night, gasping for breath at times.  This treatment reduced episodes such as this, but was not 100% effective at all times."
lidocaine,10,Highly Effective,No Side Effects,nerve and muscle pain,"Almost immediate (i.e. within 15 minutes) relieve of severe nerve and/or muscle pain in neck, shoulder &/or lower back. These patches work like a miracle for me, although others who have used them say they offered no relief for muscle or nerve or shingles pain.  I have bone spurs in my neck which sometimes irritate the nerves in my neck and cause excrutiating pain ... also periodic sciatica and shoulder and upper & lower pack pain from an auto accident.  Chiropractic and message helps, but these patches are used when those interventions fail to bring about sufficient relief ... especially for the nerve pain in my neck. I use them only as a last resort.",Relief of pain!  No bad side effects.,"Although the packaging indicates that up to 3 Lidoderm patches can be used at one time for up to 12 hours in a 24 hour period, I have never used more then two patches, and then only rarely.  I usually use one patch and cut it into several pieces to fit specific areas. I have used one patch, cut into 2 pieces on my neck for up to 24 hours several times (i.e. replaced the first patch with a second at the end of a 12 hour period) during severe pain episodes, without any harmful side effects."
flexeril,6,Marginally Effective,Mild Side Effects,upper back / left shoulder and neck pain,Not sure if it is effective or not.  Pain is gone in the morning but steadily increases as the day progresses.  I am virtually unable to function by evening.  I think I may ask my physician to prescribe an additional 5mg to be taken in the afternoon to see if that prevents the pain rebound in the afternoon.,Slight grogginess in the AM.,Starting PT in 2 days.  Currently on Flexeril QD HS x 5 days.
dexedrine,8,Considerably Effective,Moderate Side Effects,adhd,"ability to concentrate and order thoughts, capacity to work effectively, organise home life, I was able to start tertiary study again and complete assignments and exams where I wasn't able to before due to concentration and motivation issues caused by my condition","clenching of jaw, loss of appetite at first, senses felt a bit strained at the end of the day, at times I felt a bit overwhelmed and heart would beat pretty fast - this was at least in part due to the medication,","ongoing treatment for ADHD, originally I was prescribed 40 mg per day but dropped it to 30 mg when I had a few instances of heart palpitations and panic attacks"
zithromax,8,Highly Effective,Mild Side Effects,sinusitis,"It is extremely, powerful antibiotic, which give immediate effect with in two hours.",nausea,500 mg of azithromycin once in a day...for three days gives total recovery from sinusitis.
